,strategy_return
2024-07-09,15088953.799166212
2024-07-10,15336212.3949827
2024-07-11,14799322.571258657
2024-07-12,14930152.87827746
2024-07-15,15019980.024810448
2024-07-16,14954011.09253876
2024-07-17,14276070.129438633
2024-07-18,14260369.28773108
2024-07-19,14033110.596043028
2024-07-22,14374145.943590514
2024-07-23,14378414.433165155
2024-07-24,13581426.96742518
2024-07-25,13397122.020804752
2024-07-26,13498222.968510224
2024-07-29,13514799.286690243
2024-07-30,13130324.076888008
2024-07-31,13827364.212998897
2024-08-01,13249943.080562936
2024-08-02,12860251.131712975
2024-08-05,12459402.611407574
2024-08-06,12740469.577874988
2024-08-07,12355926.06747227
2024-08-08,12994792.222549995
2024-08-09,13108460.642200397
2024-08-12,12975803.951131886
2024-08-13,13383996.88152352
2024-08-14,13378425.537314445
2024-08-15,13722844.660921833
2024-08-16,13880865.528106209
2024-08-19,14075820.598921005
2024-08-20,14004563.596425932
2024-08-21,14179953.441304358
2024-08-22,13814820.58930598
2024-08-23,14220450.499197846
2024-08-26,14002300.566850951
2024-08-27,13954304.564421758
2024-08-28,13734547.479693681
2024-08-29,13706035.005663853
2024-08-30,13889406.0629475
2024-09-03,13492083.903400019
2024-09-04,13473011.213459719
2024-09-05,13483289.204503737
2024-09-06,13048576.727988778
2024-09-09,13383704.877142271
2024-09-10,13624086.544178223
2024-09-11,14014203.122616243
2024-09-12,14184771.38291381
2024-09-13,14375208.92429861
2024-09-16,14420408.523704775
2024-09-17,14386592.1748633
2024-09-18,14412678.998351771
2024-09-19,14799119.862858323
2024-09-20,14840635.091765827
2024-09-23,14960446.55200899
2024-09-24,15008892.362659318
2024-09-25,14909691.204715228
2024-09-26,14931238.474761512
2024-09-27,14844192.320809048
2024-09-30,14933346.929960629
2024-10-01,14854651.715565883
2024-10-02,14889852.272845456
2024-10-03,14831445.904116234
2024-10-04,15162400.937190412
2024-10-07,14996489.384674553
2024-10-08,15179785.97269835
2024-10-09,15344639.334595922
2024-10-10,15188603.073663801
2024-10-11,15320559.478475133
2024-10-14,15382646.768852793
2024-10-15,15174363.408284893
2024-10-16,15229832.510541212
2024-10-17,15034455.911781097
2024-10-18,15191045.92376722
2024-10-21,15048671.520414874
2024-10-22,15090636.465503365
2024-10-23,14898398.882443083
2024-10-24,15259164.526264694
2024-10-25,15277249.683180645
2024-10-28,15414997.564525943
2024-10-29,15355865.315761046
2024-10-30,15317516.781489113
2024-10-31,15176797.004014133
2024-11-01,15212425.336901018
2024-11-04,15162824.971131703
2024-11-05,15759762.222347528
2024-11-06,16421817.533251567
2024-11-07,16622642.79910984
2024-11-08,16708433.272283085
2024-11-11,17425195.587771893
2024-11-12,17670451.776149385
2024-11-13,17697708.5898591
2024-11-14,17383043.225967996
2024-11-15,17595489.472464662
2024-11-18,17712498.90094978
2024-11-19,17855961.968282126
2024-11-20,17788623.214797817
2024-11-21,17975616.265268736
2024-11-22,18163731.55743819
2024-11-25,18203423.20565681
2024-11-26,18134993.218342148
2024-11-27,18126021.815332398
2024-11-29,18391152.37080265
2024-12-02,18270455.346164253
2024-12-03,18453865.788804386
2024-12-04,19023526.38365599
2024-12-05,18810806.64373206
2024-12-06,19549161.40311061
2024-12-09,18782214.818210207
2024-12-10,18365178.516458664
2024-12-11,18876746.754122823
2024-12-12,18630562.970811084
2024-12-13,18726528.55703016
2024-12-16,19187598.39858199
2024-12-17,19166797.83501716
2024-12-18,17819237.878985617
2024-12-19,17726223.896421507
2024-12-20,18023694.312645223
2024-12-23,17858190.394702815
2024-12-24,18322981.138495598
2024-12-26,18201147.146663122
2024-12-27,17674584.886771012
2024-12-30,17216349.57944768
2024-12-31,16919312.193668414
2025-01-02,17004522.453965638
2025-01-03,17787363.713135384
2025-01-06,17953606.442012444
2025-01-07,17092246.027835276
2025-01-08,16934937.89276735
2025-01-10,16548906.855590422
2025-01-13,16399339.80634834
2025-01-14,16471962.488492785
2025-01-15,17132250.56992976
2025-01-16,17184026.94140777
2025-01-17,17621376.42988658
2025-01-21,17752132.501511298
2025-01-22,17924583.76136668
2025-01-23,17990409.601866394
2025-01-24,18000605.58267086
2025-01-27,17311062.629802436
2025-01-28,17942516.88052828
2025-01-29,17946669.851256557
2025-01-30,18315353.135057587
2025-01-31,18223638.600814935
2025-02-03,18316776.070402633
2025-02-04,19064052.863661688
2025-02-05,19066712.090262786
