,equal_weight
2022-08-23,7568331.882837118
2022-08-24,7630540.201570549
2022-08-25,7818502.370259459
2022-08-26,7493423.648403984
2022-08-29,7421250.872375607
2022-08-30,7357499.820733294
2022-08-31,7322779.460691235
2022-09-01,7283384.647316824
2022-09-02,7195897.914771249
2022-09-06,7123287.69754017
2022-09-07,7272170.230339052
2022-09-08,7378339.324628331
2022-09-09,7607344.402646489
2022-09-12,7720487.957254858
2022-09-13,7329218.923305484
2022-09-14,7404429.314922301
2022-09-15,7336852.239384715
2022-09-16,7221764.360181746
2022-09-19,7245374.79080392
2022-09-20,7100123.384586341
2022-09-21,6956481.9681243
2022-09-22,6831504.881654726
2022-09-23,6700791.70516804
2022-09-26,6610259.401556332
2022-09-27,6632977.2640609145
2022-09-28,6804304.525085536
2022-09-29,6584378.821990541
2022-09-30,6493368.521477572
2022-10-03,6636106.9700728785
2022-10-04,6956822.44529038
2022-10-05,6936293.564078834
2022-10-06,6890295.866263265
2022-10-07,6581187.438573079
2022-10-10,6450062.694702966
2022-10-11,6345057.126036431
2022-10-12,6387602.154362997
2022-10-13,6519261.91751455
2022-10-14,6310275.64537938
2022-10-17,6572034.461159595
2022-10-18,6650936.67745558
2022-10-19,6584214.536736285
2022-10-20,6610704.741520828
2022-10-21,6761934.881179716
2022-10-24,6746192.504943938
2022-10-25,6960840.241980988
2022-10-26,6900446.586156911
2022-10-27,6852996.707119802
2022-10-28,6967954.777651657
2022-10-31,6890902.502132483
2022-11-01,6871781.807541379
2022-11-02,6647223.39692708
2022-11-03,6570123.260270097
2022-11-04,6660322.497880527
2022-11-07,6702189.448687459
2022-11-08,6719571.450524207
2022-11-09,6430249.736025423
2022-11-10,6986501.006287311
2022-11-11,7245973.542465594
2022-11-14,7159914.506226997
2022-11-15,7333820.531280058
2022-11-16,7114274.236822484
2022-11-17,7072021.977405936
2022-11-18,7017624.23787881
2022-11-21,6890971.02100633
2022-11-22,6982838.0324487435
2022-11-23,7084828.610181615
2022-11-25,7036656.911151393
2022-11-28,6919990.737232074
2022-11-29,6910994.744450717
2022-11-30,7263770.282846942
2022-12-01,7273376.40124799
2022-12-02,7240724.536040751
2022-12-05,7017654.397602279
2022-12-06,6872130.683644949
2022-12-07,6825163.237892407
2022-12-08,6938548.867406878
2022-12-09,6907898.995339151
2022-12-12,7018300.906341024
2022-12-13,7077235.40410535
2022-12-14,7027230.127162272
2022-12-15,6768312.246790357
2022-12-16,6674051.72007937
2022-12-19,6572193.67872401
2022-12-20,6567436.075971821
2022-12-21,6689567.142115338
2022-12-22,6523197.528571715
2022-12-23,6537968.048087232
2022-12-27,6449748.645920266
2022-12-28,6384337.101271214
2022-12-29,6578361.193393293
2022-12-30,6579501.008667417
2023-01-03,6565015.389800727
2023-01-04,6723891.431731303
2023-01-05,6620159.973752979
2023-01-06,6761476.846167221
2023-01-09,6856087.645112374
2023-01-10,6954172.880606477
2023-01-11,7055352.136064645
2023-01-12,7151889.569205808
2023-01-13,7190870.652376273
2023-01-17,7243984.030272409
2023-01-18,7105639.358592133
2023-01-19,7018681.354021591
2023-01-20,7278595.71362921
2023-01-23,7496409.056301721
2023-01-24,7432085.58707375
2023-01-25,7461717.701884372
2023-01-26,7588647.764271326
2023-01-27,7699341.635774044
2023-01-30,7513201.856144819
2023-01-31,7660908.637410852
2023-02-01,7811675.847183223
2023-02-02,8011581.356817949
2023-02-03,7862173.195377479
2023-02-06,7784915.144345431
2023-02-07,7891547.958346801
2023-02-08,7788747.409446346
2023-02-09,7707914.760146746
2023-02-10,7669201.580201684
2023-02-13,7751625.868743343
2023-02-14,7805543.453949878
2023-02-15,7859696.530640537
2023-02-16,7695376.45023489
2023-02-17,7628774.70178355
2023-02-21,7454330.129291144
2023-02-22,7446834.938481533
2023-02-23,7492262.408683435
2023-02-24,7395016.857890098
2023-02-27,7408313.756276624
2023-02-28,7413086.17957642
2023-03-01,7383519.407033629
2023-03-02,7414496.433767384
2023-03-03,7550582.924223738
2023-03-06,7542861.882174761
2023-03-07,7430531.0714733675
2023-03-08,7459278.167205903
2023-03-09,7253030.800309309
2023-03-10,7139306.648605051
2023-03-13,7107204.089840567
2023-03-14,7273736.671957318
2023-03-15,7249346.474946731
2023-03-16,7403081.660962757
2023-03-17,7331631.281527344
2023-03-20,7375047.782865504
2023-03-21,7542642.150281256
2023-03-22,7397411.456334328
2023-03-23,7413585.888198497
2023-03-24,7406199.160361079
2023-03-27,7416046.722648853
2023-03-28,7412726.729444256
2023-03-29,7576554.615202735
2023-03-30,7630971.7176281335
2023-03-31,7744340.885715004
2023-04-03,7727715.398157829
2023-04-04,7688624.700928313
2023-04-05,7625921.968804206
2023-04-06,7664160.279645274
2023-04-10,7704818.536634027
2023-04-11,7702932.841117451
2023-04-12,7622120.4176395275
2023-04-13,7723938.086723819
2023-04-14,7736340.361312653
2023-04-17,7775061.415586097
2023-04-18,7778053.433555249
2023-04-19,7714805.59638159
2023-04-20,7623757.387915412
2023-04-21,7633496.910341789
2023-04-24,7602437.663839498
2023-04-25,7441257.527656192
2023-04-26,7424576.099870206
2023-04-27,7585645.467695746
2023-04-28,7660260.993726261
2023-05-01,7630553.966106408
2023-05-02,7511274.157141326
2023-05-03,7428236.997653902
2023-05-04,7438218.957102862
2023-05-05,7614912.207677596
2023-05-08,7647918.290878381
2023-05-09,7603543.982504387
2023-05-10,7629413.535809687
2023-05-11,7630814.566815414
2023-05-12,7567635.359012715
2023-05-15,7652291.208741385
2023-05-16,7587176.477204023
2023-05-17,7731349.044736636
2023-05-18,7826205.317214814
2023-05-19,7781313.338615033
2023-05-22,7828321.179306866
2023-05-23,7768967.12102323
2023-05-24,7698559.495369847
2023-05-25,7728692.967087846
2023-05-26,7874605.601571366
2023-05-30,7898902.715640479
2023-05-31,7872348.167709569
2023-06-01,7934575.304714848
