,strategy_return
2024-07-15,12350146.080305714
2024-07-16,12354207.521379577
2024-07-17,12187933.242604854
2024-07-18,12171002.721366877
2024-07-19,12135541.38500924
2024-07-22,12202942.279646618
2024-07-23,12198004.261378821
2024-07-24,12018970.412883397
2024-07-25,11973247.597286373
2024-07-26,11989551.724901887
2024-07-29,11990376.431557784
2024-07-30,11924161.437942106
2024-07-31,12057826.880516442
2024-08-01,11922697.621034652
2024-08-02,11707927.326971572
2024-08-05,11582495.927798212
2024-08-06,11622904.480708376
2024-08-07,11523440.712917443
2024-08-08,11689127.63311032
2024-08-09,11716544.65124344
2024-08-12,11720884.572801325
2024-08-13,11811794.67504692
2024-08-14,11809424.453995494
2024-08-15,11927864.751003524
2024-08-16,11932808.856831102
2024-08-19,11994554.812232291
2024-08-20,11969427.3620047
2024-08-21,11978993.398138382
2024-08-22,11911227.333017575
2024-08-23,12004213.793524597
2024-08-26,11981159.270326266
2024-08-27,11995174.634485753
2024-08-28,11936665.984381905
2024-08-29,11931500.334725805
2024-08-30,11988553.694420964
2024-09-03,11831353.405868802
2024-09-04,11826930.538390895
2024-09-05,11849353.124888362
2024-09-06,11729313.864371033
2024-09-09,11786575.33763596
2024-09-10,11837954.662120864
2024-09-11,11953167.919234918
2024-09-12,12004769.380544942
2024-09-13,12042527.93760513
2024-09-16,12037980.850561844
2024-09-17,12026615.770949949
2024-09-18,12023773.017579883
2024-09-19,12127896.976529136
2024-09-20,12094118.017485164
2024-09-23,12117730.198089633
2024-09-24,12164794.220136309
2024-09-25,12160332.485987494
2024-09-26,12214823.389623325
2024-09-27,12198709.348032214
2024-09-30,12183409.324426068
2024-10-01,12167468.98545214
2024-10-02,12175792.446375232
2024-10-03,12170648.948207326
2024-10-04,12263276.150523592
2024-10-07,12256676.256291952
2024-10-08,12295056.404013582
2024-10-09,12327474.336277949
2024-10-10,12304966.714982381
2024-10-11,12360106.562048333
2024-10-14,12366616.994202888
2024-10-15,12325638.832724193
2024-10-16,12342957.82538233
2024-10-17,12329065.225524087
2024-10-18,12397374.644951398
2024-10-21,12387729.287637949
2024-10-22,12391517.843182867
2024-10-23,12364559.380543826
2024-10-24,12453097.638734281
2024-10-25,12475357.108352877
2024-10-28,12525404.174617955
2024-10-29,12502946.62758463
2024-10-30,12466692.782415815
2024-10-31,12421554.3337344
2024-11-01,12393254.73014855
2024-11-04,12372190.864047071
2024-11-05,12514124.196618665
2024-11-06,12667298.384683471
2024-11-07,12713520.269181004
2024-11-08,12764595.208821662
2024-11-11,12920289.563797481
2024-11-12,12892190.809342079
