,equal_weight
2024-05-29,13187740.66824344
2024-05-30,13152103.782496268
2024-05-31,13144500.10697805
2024-06-03,13134904.023985839
2024-06-04,13176115.21873322
2024-06-05,13378644.428382091
2024-06-06,13415924.56662723
2024-06-07,13324797.710513609
2024-06-10,13353612.5310368
2024-06-11,13316444.753781108
2024-06-12,13473598.152704678
2024-06-13,13443694.646556273
2024-06-14,13353262.08878149
2024-06-17,13536184.275162902
2024-06-18,13597175.021985495
2024-06-20,13576787.150083346
2024-06-21,13483345.91840733
2024-06-24,13456764.693347516
2024-06-25,13610875.257158067
2024-06-26,13630503.782392325
2024-06-27,13683964.218839891
2024-06-28,13609428.72119902
2024-07-01,13712576.335412512
2024-07-02,13784938.484730233
2024-07-03,13825832.742961038
2024-07-05,13857818.748201441
2024-07-08,13875736.801033624
2024-07-09,13874669.772763766
2024-07-10,14009093.415139036
2024-07-11,13931447.656547913
2024-07-12,14063717.802548701
2024-07-15,14269525.60384956
2024-07-16,14447727.441782668
2024-07-17,14150018.916653795
2024-07-18,13925721.47120448
2024-07-19,13912358.759800158
2024-07-22,13987432.418156644
2024-07-23,13861836.020664016
2024-07-24,13439683.287525488
2024-07-25,13305779.394469826
2024-07-26,13453719.508343214
2024-07-29,13385778.803884752
2024-07-30,13294241.626796301
2024-07-31,13541917.046648009
2024-08-01,13108697.589642892
2024-08-02,12538282.387697859
2024-08-05,12148085.47407323
2024-08-06,12273355.76753183
2024-08-07,11994321.028343843
2024-08-08,12477580.125117064
2024-08-09,12504631.534173893
2024-08-12,12449025.358522492
2024-08-13,12670318.307155475
2024-08-14,12665782.938587455
2024-08-15,13009927.33476754
2024-08-16,13091819.232070565
2024-08-19,13277107.037449468
2024-08-20,13165322.739466036
2024-08-21,13273539.08299004
2024-08-22,13073925.027121592
2024-08-23,13389047.775017042
2024-08-26,13293670.999761738
2024-08-27,13243811.366496805
2024-08-28,12988945.98899898
2024-08-29,13076250.804958213
2024-08-30,13202255.786566677
2024-09-03,12747968.926314324
2024-09-04,12676954.543809004
2024-09-05,12630304.219327101
2024-09-06,12284120.696564388
2024-09-09,12534747.676362863
2024-09-10,12630726.95867699
2024-09-11,12819362.645542217
2024-09-12,12910193.081471443
2024-09-13,13055357.422136612
2024-09-16,13109337.737879459
2024-09-17,13152334.92999672
2024-09-18,13114619.495037965
2024-09-19,13414002.529270556
2024-09-20,13384268.243294276
2024-09-23,13484384.347686093
2024-09-24,13606040.140478093
2024-09-25,13508903.920467373
2024-09-26,13735214.081573311
2024-09-27,13774880.028791038
2024-09-30,13672279.227332909
2024-10-01,13505097.700912517
2024-10-02,13530777.730308618
2024-10-03,13530304.554528764
2024-10-04,13807826.87992593
2024-10-07,13779593.465910584
2024-10-08,13858254.832394652
2024-10-09,13944286.124416912
2024-10-10,13909288.371476553
2024-10-11,14158009.525107082
2024-10-14,14272167.109395633
2024-10-15,14136978.283274509
2024-10-16,14282103.934536615
2024-10-17,14273768.083816541
2024-10-18,14408968.88489697
2024-10-21,14370241.420773067
2024-10-22,14349101.272820877
2024-10-23,14194140.513758274
2024-10-24,14326282.24268589
2024-10-25,14341975.617888631
2024-10-28,14527100.787628938
2024-10-29,14506651.835677087
2024-10-30,14355290.287404532
2024-10-31,14020160.399939923
2024-11-01,14025324.735368574
2024-11-04,13939643.489170253
2024-11-05,14238329.627260212
2024-11-06,14838193.432222748
2024-11-07,14998457.667400176
2024-11-08,15038248.70984291
2024-11-11,15481464.235990444
2024-11-12,15359111.553317053
2024-11-13,15222517.343890896
2024-11-14,15000169.261860266
2024-11-15,14973071.579053838
2024-11-18,15110081.214401653
2024-11-19,15340273.594716601
2024-11-20,15369612.171441684
2024-11-21,15399706.9816848
2024-11-22,15686816.830849873
2024-11-25,15795766.110679729
2024-11-26,15615127.093756638
2024-11-27,15660444.246851727
2024-11-29,15739737.670504114
2024-12-02,15848199.94166057
2024-12-03,15851795.511477469
2024-12-04,16011684.448988177
2024-12-05,15953494.460749779
2024-12-06,16156463.647283295
2024-12-09,15974070.0254231
2024-12-10,15801912.24846451
2024-12-11,15986702.178737735
2024-12-12,15843184.501221007
2024-12-13,15883358.336970573
2024-12-16,15971513.418361444
2024-12-17,15898518.000177177
2024-12-18,15262441.309728539
2024-12-19,15132556.796215551
2024-12-20,15318944.460328164
2024-12-23,15384925.944222206
2024-12-24,15608614.782196503
2024-12-26,15564669.69092072
2024-12-27,15336502.301424963
2024-12-30,15095401.812141297
2024-12-31,15012764.116630292
2025-01-02,15048440.907150816
2025-01-03,15504612.98053777
2025-01-06,15735517.5972377
2025-01-07,15464849.376423454
2025-01-08,15326220.045369832
2025-01-10,15131032.14515373
2025-01-13,15067789.914285952
2025-01-14,15099978.33174223
2025-01-15,15501432.907669103
2025-01-16,15532927.10707598
2025-01-17,15777425.071277024
2025-01-21,15884143.268956508
2025-01-22,15921292.639140101
2025-01-23,15958992.558420818
2025-01-24,15939912.12689843
2025-01-27,15516779.891816976
2025-01-28,15582597.097881945
2025-01-29,15604340.169717398
2025-01-30,15773231.331929807
2025-01-31,15593523.540030185
