,strategy_risk
2025-04-10,11168118.93184042
2025-04-11,11244561.430542294
2025-04-14,11316947.507490275
2025-04-15,11312235.41135453
2025-04-16,11253398.627334619
2025-04-17,11305427.150882605
2025-04-21,11209242.850167036
2025-04-22,11215885.432494817
2025-04-23,11290322.273877626
2025-04-24,11357363.963389162
2025-04-25,11349713.601972267
2025-04-28,11373924.116775729
2025-04-29,11388338.390519025
2025-04-30,11394880.175334096
2025-05-01,11405254.685718386
2025-05-02,11492183.727420386
2025-05-05,11448930.763748601
2025-05-06,11487788.31626759
2025-05-07,11447436.77992641
2025-05-08,11455112.179160839
2025-05-09,11474862.839906506
2025-05-12,11541684.19988039
2025-05-13,11544244.457912628
2025-05-14,11554722.413352923
2025-05-15,11587056.558938328
2025-05-16,11611604.357506022
2025-05-19,11620893.371492215
2025-05-20,11611265.961529583
2025-05-21,11542008.301569853
2025-05-22,11498884.247782571
2025-05-23,11499688.297628
2025-05-27,11523692.5647642
2025-05-28,11479860.244370842
2025-05-29,11502404.671823539
2025-05-30,11507965.331155282
2025-06-02,11540809.13551326
2025-06-03,11555511.581431717
2025-06-04,11548073.414018426
2025-06-05,11562174.25819189
2025-06-06,11609089.361082828
2025-06-09,11639034.852676196
2025-06-10,11675183.167895772
2025-06-11,11696770.073763734
2025-06-12,11671946.86388585
2025-06-13,11681297.689383246
2025-06-16,11694419.616579136
2025-06-17,11697747.881255277
2025-06-18,11659399.872201702
2025-06-20,11679404.155188581
2025-06-23,11672918.861669406
2025-06-24,11672425.40193491
2025-06-25,11636108.103314748
2025-06-26,11666336.10814693
2025-06-27,11676309.794951893
2025-06-30,11728133.466834342
2025-07-01,11681645.77446532
2025-07-02,11707323.660776366
2025-07-03,11720072.8790237
2025-07-07,11709789.581799254
2025-07-08,11698226.92743585
2025-07-09,11726218.225716775
2025-07-10,11712503.042004604
2025-07-11,11702426.886165172
2025-07-14,11723483.529677756
2025-07-15,11726082.08596043
2025-07-16,11737918.308313398
2025-07-17,11772165.74275712
2025-07-18,11732948.936078247
2025-07-21,11738286.956603616
2025-07-22,11695284.91773385
2025-07-23,11693733.087447349
2025-07-24,11698646.479083374
2025-07-25,11706215.91764033
2025-07-28,11705400.110136336
2025-07-29,11696446.722804366
2025-07-30,11720912.257949546
2025-07-31,11702218.476653147
2025-08-01,11664447.433928296
2025-08-04,11698594.88969628
2025-08-05,11670224.284900151
2025-08-06,11697308.299193753
2025-08-07,11706211.271954898
2025-08-08,11739504.204041814
2025-08-11,11749686.644837745
2025-08-12,11758786.565995967
2025-08-13,11727378.387853649
2025-08-14,11752089.174731841
2025-08-15,11765205.475160843
2025-08-18,11773939.024666758
2025-08-19,11715309.76072223
2025-08-20,11714889.535835052
2025-08-21,11708847.987624114
2025-08-22,11726891.33983711
2025-08-25,11728488.510330204
2025-08-26,11739192.299701134
2025-08-27,11729820.140027098
2025-08-28,11743559.809051247
2025-08-29,11710445.717595164
2025-09-02,11708716.245759055
2025-09-03,11719239.442654958
2025-09-04,11752950.49523277
2025-09-05,11747747.054636694
2025-09-08,11787802.607215246
2025-09-09,11814383.607792208
2025-09-10,11888428.99036028
2025-09-11,11847879.361436255
2025-09-12,11823709.859255355
2025-09-15,11845350.478713552
2025-09-16,11851358.511724057
2025-09-17,11869762.415127376
2025-09-18,11867917.003434304
2025-09-19,11901949.492096357
2025-09-22,11915029.19815917
2025-09-23,11894912.577579865
2025-09-24,11880838.82616116
2025-09-25,11860546.780353138
2025-09-26,11860909.527714353
2025-09-29,11891151.762438238
2025-09-30,11894528.380789217
2025-10-01,11927509.21681094
2025-10-02,12064579.261982886
2025-10-03,12133122.43343235
2025-10-06,12104047.642241688
2025-10-07,12102002.936072966
2025-10-08,12104254.947127862
2025-10-09,11986267.653982118
2025-10-10,11611788.169434011
2025-10-13,11925956.634701358
2025-10-14,11962852.301607685
2025-10-15,12052295.390334878
2025-10-16,11924871.445385067
2025-10-17,11973678.769629385
2025-10-20,12113069.983409032
2025-10-21,12033621.859554805
2025-10-22,11962292.200382618
2025-10-23,12076537.451229151
2025-10-24,12204653.339390311
2025-10-27,12408829.31386365
2025-10-28,12385569.465406941
2025-10-29,12477074.363064772
2025-10-30,12363114.03101478
2025-10-31,12430324.717302794
2025-11-03,12339400.672892708
2025-11-04,12101705.1602721
2025-11-05,12227808.03782707
2025-11-06,12124156.505894652
2025-11-07,12158192.654068755
2025-11-10,12315119.042319398
2025-11-11,12317176.448062873
2025-11-12,12228683.811321707
2025-11-13,11979783.075809985
2025-11-14,11935201.646857608
2025-11-17,11932292.887612047
2025-11-18,11939232.788370112
