,SPY
2024-01-03,11536818.566931594
2024-01-04,11499657.029027127
2024-01-05,11515408.374032838
2024-01-08,11679801.253073484
2024-01-09,11662082.04813815
2024-01-10,11728036.524465377
2024-01-11,11722867.909961134
2024-01-12,11730988.699158391
2024-01-16,11687921.272673583
2024-01-17,11622952.650304057
2024-01-18,11726312.62683442
2024-01-19,11872496.06755093
2024-01-22,11897599.557204578
2024-01-23,11932296.075416211
2024-01-24,11945339.977624731
2024-01-25,12010310.908785729
2024-01-26,11995051.336363133
2024-01-29,12090046.561397577
2024-01-30,12080694.416749636
2024-01-31,11883569.801038356
2024-02-01,12039103.077611333
2024-02-02,12165844.954955863
2024-02-05,12121546.17302037
2024-02-06,12156738.311800903
2024-02-07,12258131.967595957
2024-02-08,12263544.544398868
2024-02-09,12334420.594543047
2024-02-12,12329007.24814298
2024-02-13,12159199.483507957
2024-02-14,12269697.4736665
2024-02-15,12354355.469692456
2024-02-16,12292830.794599058
2024-02-20,12225153.959835187
2024-02-21,12236227.693322614
2024-02-22,12489462.868130066
2024-02-23,12498076.199507598
2024-02-26,12452301.330225596
2024-02-27,12475436.19035247
2024-02-28,12458946.032076348
2024-02-29,12503735.8169978
2024-03-01,12621124.780097233
2024-03-04,12607589.874902751
2024-03-05,12481587.580425788
2024-03-06,12544834.61395583
2024-03-07,12669360.05148913
2024-03-08,12593316.15643786
2024-03-11,12582487.924443413
2024-03-12,12717841.59397116
2024-03-13,12697907.488418909
2024-03-14,12672806.307556728
2024-03-15,12585787.18745409
2024-03-18,12660586.64390301
2024-03-19,12730942.446369275
2024-03-20,12848694.65932666
2024-03-21,12891155.643252006
2024-03-22,12866717.855138881
2024-03-25,12831168.623277651
2024-03-26,12807468.109240623
2024-03-27,12915102.428379172
2024-03-28,12912633.560700553
2024-04-01,12890167.480502835
2024-04-02,12808210.770496815
2024-04-03,12822279.006520873
2024-04-04,12665771.419947542
2024-04-05,12798087.489497885
2024-04-08,12805245.512652138
2024-04-09,12820057.179529548
2024-04-10,12691692.221781585
2024-04-11,12787473.97511015
2024-04-12,12610966.867226252
2024-04-15,12452974.72773769
2024-04-16,12430263.14604699
2024-04-17,12356698.123437382
2024-04-18,12331271.402977927
2024-04-19,12223640.162228001
2024-04-22,12336210.67752948
2024-04-23,12482598.061492506
2024-04-24,12476673.702580405
2024-04-25,12429276.522492131
2024-04-26,12547029.505046671
2024-04-29,12591463.736081738
2024-04-30,12391999.54501416
2024-05-01,12351761.927274454
2024-05-02,12467293.082837667
2024-05-03,12621829.73109275
2024-05-06,12752171.783936216
2024-05-07,12766243.867946055
2024-05-08,12767478.301785365
2024-05-09,12841041.015603505
2024-05-10,12857583.506486282
2024-05-13,12859308.943311552
2024-05-14,12918310.109328201
2024-05-15,13078278.57431511
2024-05-16,13051368.840134738
2024-05-17,13070130.079620212
2024-05-20,13085189.55678207
2024-05-21,13117281.758215507
2024-05-22,13079511.468960108
2024-05-23,12983975.217124522
2024-05-24,13069885.347724391
2024-05-28,13079018.926779833
2024-05-29,12987430.708358003
2024-05-30,12901278.154653782
2024-05-31,13018784.096521027
2024-06-03,13029399.919700233
2024-06-04,13043962.237098878
2024-06-05,13198992.966728544
2024-06-06,13198746.695638409
2024-06-07,13182699.055727376
2024-06-10,13223432.294035984
2024-06-11,13255276.685184969
2024-06-12,13364143.898968516
2024-06-13,13391050.554760262
2024-06-14,13399202.127843786
2024-06-17,13505842.127455909
2024-06-18,13540156.925477829
2024-06-20,13503374.798971603
2024-06-21,13485269.256263617
2024-06-24,13441433.002219288
2024-06-25,13493196.106977392
2024-06-26,13510037.971154114
2024-06-27,13531335.802867996
2024-06-28,13478088.914791819
