,strategy_risk
2025-11-25,19204377.151375115
2025-11-26,19328705.8737421
2025-11-28,19652311.469910275
2025-12-01,19566020.251622505
2025-12-02,19728605.266410295
2025-12-03,19828762.01706612
2025-12-04,19645980.153544653
2025-12-05,19794447.44717567
2025-12-08,19729335.985591
2025-12-09,19899591.043043736
2025-12-10,20079012.94157692
2025-12-11,19945366.86658212
2025-12-12,19706181.8982313
2025-12-15,19644226.54429946
2025-12-16,19470678.782135982
2025-12-17,19213648.49165801
2025-12-18,19498016.023170646
2025-12-19,19789242.94454236
2025-12-22,19894979.03511583
2025-12-23,19946914.83623282
2025-12-24,20038308.764191005
2025-12-26,20004320.020941056
2025-12-29,20113354.36551973
2025-12-30,20108162.332852725
2025-12-31,19990461.287610892
2026-01-02,20269853.77889485
2026-01-05,20383639.80615892
2026-01-06,20456971.29419384
2026-01-07,20378679.41033027
2026-01-08,20453692.276419457
2026-01-09,20636928.157835606
2026-01-12,20727876.277504288
2026-01-13,20827414.21274074
2026-01-14,20785889.31316596
2026-01-15,20810459.058267165
2026-01-16,20922533.61031387
2026-01-20,20664523.569392547
2026-01-21,20901500.384770352
2026-01-22,20983632.85261377
2026-01-23,20950063.128938776
2026-01-26,21028821.460624572
2026-01-27,21241396.287043914
2026-01-28,21324823.74961601
2026-01-29,21446528.531829227
2026-01-30,21424538.1948494
2026-02-02,21771016.575536445
2026-02-03,22036623.32509243
2026-02-04,21744314.245915573
2026-02-05,21618442.09067697
2026-02-06,21948029.196723007
2026-02-09,22014479.6883366
2026-02-10,21873497.08477657
2026-02-11,22225135.20071312
2026-02-12,22033936.457376115
2026-02-13,21972688.726341836
2026-02-17,21803024.37096826
2026-02-18,22002878.2097584
2026-02-19,22007347.479587723
2026-02-20,22149591.266914364
2026-02-23,22202965.49906892
2026-02-24,22157531.47993135
2026-02-25,22115083.022760432
2026-02-26,21987977.763499554
2026-02-27,22131016.21176403
